Ägypten liegt in Afrika. ,Egipt se află în Africa.,Eg--- s- a--- î- A-----.,Länder und Sprachen - Ţări şi limbi 
Japan liegt in Asien. ,Japonia se află în Asia., Ja----- s- a--- î- A---.,Länder und Sprachen - Ţări şi limbi 
Kanada liegt in Nordamerika. ,Canada se află în America de Nord.,Ca---- s- a--- î- A------ d- N---.,Länder und Sprachen - Ţări şi limbi 
Panama liegt in Mittelamerika. ,Panama se află în America Centrală.,Pa---- s- a--- î- A------ C-------.,Länder und Sprachen - Ţări şi limbi 
Brasilien liegt in Südamerika. ,Brazilia se află în America de Sud., Br------ s- a--- î- A------ d- S--.,Länder und Sprachen - Ţări şi limbi 
Ich lese einen Buchstaben. ,Eu citesc o literă.,Eu c----- o l-----.,Lesen und schreiben - Citit şi scris
Ich lese ein Wort. ,Eu citesc un cuvânt.,Eu c----- u- c-----.,Lesen und schreiben - Citit şi scris
Ich schreibe einen Satz. ,Eu scriu o propoziţie.,Eu s---- o p---------.,Lesen und schreiben - Citit şi scris
Entschuldigen Sie! ,Scuzaţi-mă!,Sc--------!,Uhrzeiten - Ora
"Wie viel Uhr ist es, bitte? ","Cât este ora, vă rog?",Câ- e--- o--- v- r--?,Uhrzeiten - Ora
Danke vielmals. ,Mulţumesc mult.,Mu------- m---.,Uhrzeiten - Ora
Es ist sieben Uhr.,Este ora şapte.,Es-- o-- ş----.,Uhrzeiten - Ora
von Montag bis Sonntag ,de luni până duminică,de l--- p--- d------ă,Wochentage - Zilele săptămânii 
Der zweite Tag ist Dienstag.,A doua zi este marţi.,A d--- z- e--- m----.,Wochentage - Zilele săptămânii 
Die Woche hat sieben Tage. ,Săptămâna are şapte zile.,Să------- a-- ş---- z---.,Wochentage - Zilele săptămânii 
Wir arbeiten nur fünf Tage. ,Noi lucrăm doar cinci zile.,No- l----- d--- c---- z---.,Wochentage - Zilele săptămânii 
Gestern war Samstag. ,Ieri a fost sâmbătă.,Ie-- a f--- s------.,Gestern heute morgen -  Ieri azi mâine 
Gestern war ich im Kino. ,Ieri am fost la cinematograf.,Ie-- a- f--- l- c-----------.,Gestern heute morgen -  Ieri azi mâine 
Der Film war interessant. ,Filmul a fost interesant.,Fi---- a f--- i---------.,Gestern heute morgen -  Ieri azi mâine 
Heute ist Sonntag. Heute arbeite ich nicht. ,Azi este duminică. Astăzi nu lucrez.,Az- e--- d-------. As---- n- l-----.,Gestern heute morgen -  Ieri azi mâine 
Ich bleibe zu Hause. ,Eu rămân acasă.,Eu r---- a----.,Gestern heute morgen -  Ieri azi mâine 
Morgen arbeite ich wieder. ,Mâine lucrez din nou.,Mâ--- l----- d-- n--.,Gestern heute morgen -  Ieri azi mâine 
Ich arbeite im Büro. ,Eu lucrez la birou.,Eu l----- l- b----.,Gestern heute morgen -  Ieri azi mâine 
Wer ist das? ,Cine este acesta?,Ci-- e--- a-----?,Gestern heute morgen -  Ieri azi mâine 
Das ist Peter. ,Acesta este Peter.,Ac---- e--- P----.,Gestern heute morgen -  Ieri azi mâine 
Peter und Martha sind Freunde. ,Peter şi Martha sunt prieteni.,Pe--- ş- M----- s--- p-------.,Gestern heute morgen -  Ieri azi mâine 
Peter ist der Freund von Martha. ,Peter este prietenul Marthei., Pe--- e--- p-------- M------.,Gestern heute morgen -  Ieri azi mâine 
Martha ist die Freundin von Peter. ,Martha este prietena lui Peter.,Ma---- e--- p------- l-- P----.,Gestern heute morgen -  Ieri azi mâine 
Ich trinke Tee.,Eu beau ceai.,Eu b--- c---.,Getränke - Băuturi 
Trinkst du Tee mit Zitrone?,Bei ceai cu lămâie?,Be- c--- c- l-----?,Getränke - Băuturi 
Trinkst du Kaffee mit Zucker? ,Bei cafea cu zahăr?,Be- c---- c- z----?,Getränke - Băuturi 
Hier ist eine Party. ,Aici este o petrecere.,Ai-- e--- o p--------.,Getränke - Băuturi 
Die Leute trinken Sekt. ,Oamenii beau şampanie.,Oa----- b--- ş-------.,Getränke - Băuturi 
Trinkst du Alkohol?,Bei alcool?,Be- a-----?,Getränke - Băuturi 
Ich mag keinen Wein.,Mie nu-mi place vinul.,Mi- n---- p---- v----.,Getränke - Băuturi 
Das Baby mag Milch. ,Bebeluşului îi place laptele.,Be--------- î- p---- l------.,Getränke - Băuturi 
Die Frau mag Orangensaft und Grapefruitsaft.,Femeii îi place sucul de portocale şi cel de grapefruit.,Fe---- î- p---- s---- d- p-------- ş- c-- d- g---------.,Getränke - Băuturi 
Was macht Martha?,Ce face Martha?,Ce f--- M-----?,Tätigkeiten - Activităţi
Sie arbeitet im Büro.,Ea lucrează în birou.,Ea l------- î- b----.,Tätigkeiten - Activităţi
Sie arbeitet am Computer. ,Ea lucrează la calculator.,Ea l------- l- c---------.,Tätigkeiten - Activităţi
Wo ist Martha?,Unde este Martha?,Un-- e--- M-----?,Tätigkeiten - Activităţi
Im Kino. ,La cinematograf.,La c-----------.,Tätigkeiten - Activităţi
Sie schaut sich einen Film an. ,Se uită la un film.,Se u--- l- u- f---.,Tätigkeiten - Activităţi
Wohin gehen sie gern?,Unde merg ei cu plăcere?,Un-- m--- e- c- p------?,Tätigkeiten - Activităţi
Sie hören gern Musik. ,Ei ascultă cu plăcere muzică.,Ei a------ c- p------ m-----.,Tätigkeiten - Activităţi
Wohin gehen sie nicht gern? ,Unde nu merg ei cu plăcere?,Un-- n- m--- e- c- p------?,Tätigkeiten - Activităţi
Welche Farbe hat der Schnee? Weiß. ,Ce culoare are zăpada? Albă.,Ce c------ a-- z-----? A---.,Farben - Culori
Welche Farbe haben die Reifen? Schwarz.,Ce culoare au cauciucurile? Neagră.,Ce c------ a- c-----------? N-----.,Farben - Culori
Welche Farbe hat das Gras? Grün.,Ce culoare are iarba? Verde.,Ce c------ a-- i----? V----.,Farben - Culori
Ich mache einen Obstsalat.,Eu fac o salată de fructe.,Eu f-- o s----- d- f-----.,Früchte und Lebensmittel - Fructe şi alimente 
Ich esse einen Toast mit Butter und Marmelade. ,Eu mănânc o pâine prăjită cu unt şi gem.,Eu m----- o p---- p------ c- u-- ş- g--.,Früchte und Lebensmittel - Fructe şi alimente 
Wir brauchen Brot und Reis. ,Noi avem nevoie de pâine şi orez.,No- a--- n----- d- p---- ş- o---.,Früchte und Lebensmittel - Fructe şi alimente 
Was brauchen wir noch?,De ce mai avem nevoie?,De c- m-- a--- n-----?,Früchte und Lebensmittel - Fructe şi alimente 
Im Sommer gehen wir gern spazieren. ,Vara mergem să ne plimbăm cu plăcere.,Va-- m----- s- n- p------ c- p------.,Jahreszeiten und Wetter - Anotimpuri şi vreme 
Im Winter bleiben wir gern zu Hause. ,Iarna stăm cu plăcere acasă.,Ia--- n---- s-- p---,Jahreszeiten und Wetter - Anotimpuri şi vreme 
Im Winter schneit oder regnet es. ,Iarna ninge sau plouă.,Ia--- s--- c- p------ a----.,Jahreszeiten und Wetter - Anotimpuri şi vreme 
Wie ist das Wetter heute? ,Cum este astăzi vremea?,Cu- e--- a----- v-----?,Jahreszeiten und Wetter - Anotimpuri şi vreme 
Hier ist unser Haus. ,Aici este casa noastră.,Ai-- e--- c--- n------.,Im Haus -  În casă
Oben ist das Dach und unten ist der Keller. ,Sus este acoperişul și jos este pivniţa.,Su- e--- a--------- -i jo- e--- p------.,Im Haus -  În casă
Hinter dem Haus ist ein Garten. ,În spatele casei este o grădină.,În s------ c---- e--- o g------.,Im Haus -  În casă
Vor dem Haus ist keine Straße.,În faţa casei nu este nicio stradă.,În f--- c---- n- e--- n---- s-----.,Im Haus -  În casă
Neben dem Haus sind Bäume. ,Lângă casă sunt pomi.,Lâ--- c--- s--- p---.,Im Haus -  În casă
Die Haustür ist geschlossen. ,Uşa casei este închisă.,Uş- c---- e--- î------.,Im Haus -  În casă
Aber die Fenster sind offen. ,Dar ferestrele sunt deschise.,Da- f--------- s--- d-------.,Im Haus -  În casă
Wir gehen in das Wohnzimmer. ,Noi mergem în camera de zi.,No- m----- î- c----- d- z-.,Im Haus -  În casă
Setzen Sie sich! ,Aşezaţi-vă!,Aş--------!,Im Haus -  În casă
Ich denke an meine Tochter,Eu mă gândesc la fiica mea,E- m- g-----c l- f---a m--,Dif
Heute putzen wir die Wohnung. ,Astăzi curăţăm locuinţa.,As---- c------ l-------.,Hausputz - Curăţenia în casă 
