schweigen,a tăcea ,tac ,taci ,tace ,tăcem ,tăceţi ,tac ,să tacă ,tăcut ,taci! ,I,,
schwimmen,a înota,înot,înoți,înoată,înotăm,înotați,înoată,,,,,,
sehen,a vedea ,văd ,vezi ,vede ,vedem ,vedeţi ,văd ,să vadă ,văzut ,vezi! ,I,,
sein,a fi,sunt,ești,este/e,suntem,sunteţi,sunt,,,,I,,
"setzten, stellen, legen",a pune ,pun ,pui ,pune ,punem ,puneţi ,pun ,să pună ,pus  ,pune!  ,I,,
sich erinnern,a (-şi) aminti,amintesc,amintești,amintește,amintim,amintiți,amintesc,să amintească,amintit,aminteşte!,I,,
sich fühlen,a (se) simţi ,simt ,simţi ,simte ,simţim ,simţiţi ,simt,să simtă  ,simţit  ,simte!  ,I,,
sich setzen,a (se) aşeza,aşez,aşezi,aşează,aşezăm,aşezaţi,aşează,să aşeze,aşezat,aşează!,I,,
singen,a cânta,cânt,cânţi,cântă,cântăm,cântaţi,cântă,să cânte,cântat,cântă!,I,,
spielen,a (se) juca,joc,joci,joacă,jucăm,jucați,joacă,să se joace,jucat,joacă-te!,I,,
sprechen,a vorbi ,vorbesc ,vorbești ,vorbește ,vorbim ,vorbiți,vorbesc ,,,,,,
sterben,a muri ,mor ,mori ,moare ,murim ,muriţi ,mor,să moară  ,murit  ,mori!  ,I,,
studieren,a studia ,studiez ,studiezi ,studiază ,studiem ,studiaţi ,studiază ,să studieze ,studiat ,studiază! ,I,,
suchen,a căuta,caut,cauţi,caută,căutăm,căutaţi,caută,să caute,căutat,caută!,I,,
tragen,a duce ,duc ,duci ,duce ,ducem ,duceţi ,duc ,să ducă ,dus ,du! ,I,,
trinken,a bea ,beau ,bei ,bea ,bem ,beţi ,beau ,să bea ,băut  ,bea!  ,I,,
verlangen,a cere,cer,ceri,cere,cerem,cereți,cer,,,,,,
verlieren,a pierde ,pierd ,pierzi ,pierde ,pierdem ,pierdeţi ,pierd ,să piardă ,pierdut  ,pierde!  ,I,,
verstehen,a înţelege ,înţeleg ,înţelegi ,înţelege ,înţelegem ,înţelegeţi ,înţeleg ,să înţeleagă ,înţeles ,înţelege! ,I,,
