Kraut/ Kohl,varză,verze,,,,f,o,două,Duolingo
Kartoffel,cartof,cartofi,,,,m,un,doi,Duolingo
"Ofen, Backofen",cuptor,cuptoare,,,,n,un,două,Duolingo
Aubergine,vânătă,vinete,,,,f,o,două,Duolingo
Küche,bucătărie,bucătări,,,,f,o,două,Duolingo
Blumenkohl,conopidă,conopide,,,,f,o,două,Duolingo
Senf,muștar,,,,,m,un,doi,Duolingo
"Pastete, Kuchen",plăcintă,plăcinte,,,,f,o,două,Duolingo
Essig,oțet,oțeturi,,,,n,un,două,Duolingo
viel/ viele,multe,,,,,adj,,,Duolingo
Eiscreme,înghețată,înghețate,,,,f,o,două,Duolingo
Rindfleisch,carne de vită,cărnuri,,,,f,o,două,Duolingo
Schweinefleisch,carne de porc,,,,,f,o,două,Duolingo
Zitrone,lămâie,lămâi,,,,f,o,două,Duolingo
Pfannkuchen,clătită,clătite,,,,f,o,două,Duolingo
Pfirsich,piersică,piersici,,,,f,o,două,Duolingo
Erdnuss,arahidă,arahide,,Eine Erdnuss pro Tag,O arahidă pe zi,f,o,două,Duolingo
Ei,ou,ouă,,,,n,un,două,Duolingo
Himbeere,zmeură,zmeure,,,,f,o,două,Duolingo
Birne,pară,pere,,,,f,o,două,Duolingo
Gabel,furculiță,furculițe,,,,f,o,două,Duolingo
Teller,farfurie,farfurii,,,,f,o,două,Duolingo
Teelöffel,linguriță,lingurițe,,,,f,o,două,Duolingo
Aprikose,caisă,caise,,,,f,o,două,Duolingo
Katze,pisică,pisici,,,,f,o,două,Duolingo
Vogel,pasăre,păsări,,,,f,o,două,Duolingo
Hund,câine,câini,,,,m,un,doi,Duolingo
Maus,șoarece,șoareci,,,,m,un,doi,Duolingo
Kuh,vacă,vaci,,,,f,o,două,Duolingo
Hase,iepure,iepuri,,,,m,un,doi,Duolingo
Bulle,taur,tauri,,,,m,un,doi,Duolingo
Ferkel,purcel,purcei,,,,m,un,doi,Duolingo
Lamm,miel,miei,,,,m,un,doi,Duolingo
Ziege,capră,capre,,,,f,o,două,Duolingo
Huhn,găină,găini,,,,f,o,două,Duolingo
Hengst,armăsar,armăsari,,,,m,un,doi,Duolingo
Gans,gâscă,gâște,,,,f,o,două,Duolingo
Wolf,lup,lupi,,Mordhunger,foame de lup,m,un,doi,Duolingo
Wal,balenă,balene,,,,f,o,două,Duolingo
Löwe,leu,lei,,,,m,un,doi,Duolingo
Schlange,șarpe,șerpi,,,,f,o,două,Duolingo
Robbe,focă,foci,,,,f,o,două,Duolingo
Bär,urs,urși,,,,m,un,doi,Duolingo
Hai,rechin,rechini,,,,m,un,doi,Duolingo
Biene,albină,albine,,,,f,o,două,Duolingo
Schmetterling,fluture,fluturi,,,,m,un,doi,Duolingo
Spinne,păianjen,păianjeni,,,,m,un,doi,Duolingo
